county	date	fips	new.cases
GREENLEE	2020-07-13	4011	1
GREENLEE	2020-07-14	4011	0
GREENLEE	2020-07-15	4011	5
GREENLEE	2020-07-16	4011	2
GREENLEE	2020-07-17	4011	-2
GREENLEE	2020-07-18	4011	1
GREENLEE	2020-07-19	4011	1
GREENLEE	2020-07-20	4011	0
GREENLEE	2020-07-21	4011	-1
GREENLEE	2020-07-22	4011	0
GREENLEE	2020-07-23	4011	0
GREENLEE	2020-07-24	4011	1
GREENLEE	2020-07-25	4011	0
GREENLEE	2020-07-26	4011	8
GREENLEE	2020-07-27	4011	6
GREENLEE	2020-07-28	4011	-2
