state	date	fips	new.cases	abbr
NEW YORK	2020-07-21	36	855	NY
MASSACHUSETTS	2020-07-21	25	244	MA
NEW JERSEY	2020-07-21	34	293	NJ
WEST VIRGINIA	2020-07-21	54	57	WV
KANSAS	2020-07-21	20	62	KS
HAWAII	2020-07-21	15	25	HI
CONNECTICUT	2020-07-21	9	41	CN
VERMONT	2020-07-21	50	6	VT
NEW HAMPSHIRE	2020-07-21	33	13	NH
MAINE	2020-07-21	23	12	ME
LOUISIANA	2020-07-20	22	3186	LA
FLORIDA	2020-07-20	12	10347	FL
MISSISSIPPI	2020-07-20	28	1251	MS
ALABAMA	2020-07-20	1	1880	AL
KANSAS	2020-07-20	20	1085	KS
NEVADA	2020-07-20	32	979	NV
SOUTH CAROLINA	2020-07-20	45	1459	SC
TEXAS	2020-07-20	48	7636	TX
TENNESSEE	2020-07-20	47	1764	TN
IDAHO	2020-07-20	16	420	ID
ARKANSAS	2020-07-20	5	699	AR
ARIZONA	2020-07-20	4	1676	AZ
CALIFORNIA	2020-07-20	6	8735	CA
GEORGIA	2020-07-20	13	1994	GA
ALASKA	2020-07-20	2	137	AK
WASHINGTON	2020-07-20	53	1348	WA
IOWA	2020-07-20	19	530	IA
MINNESOTA	2020-07-20	27	903	MN
MISSOURI	2020-07-20	29	890	MO
NORTH DAKOTA	2020-07-20	38	107	ND
WISCONSIN	2020-07-20	55	801	WI
UTAH	2020-07-20	49	409	UT
NORTH CAROLINA	2020-07-20	37	1330	NC
NEW MEXICO	2020-07-20	35	244	NM
VIRGINIA	2020-07-20	51	945	VA
DISTRICT OF COLUMBIA	2020-07-20	11	78	DC
NEBRASKA	2020-07-20	31	210	NE
DELAWARE	2020-07-20	10	105	DE
OHIO	2020-07-20	39	1236	OH
WYOMING	2020-07-20	56	61	WY
RHODE ISLAND	2020-07-20	44	111	RI
MONTANA	2020-07-20	30	107	MT
ILLINOIS	2020-07-20	17	1268	IL
INDIANA	2020-07-20	18	642	IN
MARYLAND	2020-07-20	24	553	MD
PENNSYLVANIA	2020-07-20	42	1114	PA
KENTUCKY	2020-07-20	21	378	KY
COLORADO	2020-07-20	8	467	CO
OREGON	2020-07-20	41	321	OR
WEST VIRGINIA	2020-07-20	54	100	WV
MICHIGAN	2020-07-20	26	551	MI
CONNECTICUT	2020-07-20	9	162	CN
OKLAHOMA	2020-07-20	40	168	OK
SOUTH DAKOTA	2020-07-20	46	37	SD
MASSACHUSETTS	2020-07-20	25	255	MA
NEW HAMPSHIRE	2020-07-20	33	46	NH
NEW YORK	2020-07-20	36	519	NY
NEW JERSEY	2020-07-20	34	180	NJ
MAINE	2020-07-20	23	24	ME
VERMONT	2020-07-20	50	10	VT
HAWAII	2020-07-20	15	12	HI
LOUISIANA	2020-07-19	22	3116	LA
FLORIDA	2020-07-19	12	12478	FL
SOUTH CAROLINA	2020-07-19	45	2374	SC
NEVADA	2020-07-19	32	1220	NV
ALABAMA	2020-07-19	1	1777	AL
ARIZONA	2020-07-19	4	2311	AZ
IDAHO	2020-07-19	16	527	ID
TEXAS	2020-07-19	48	7977	TX
MISSISSIPPI	2020-07-19	28	792	MS
TENNESSEE	2020-07-19	47	1662	TN
GEORGIA	2020-07-19	13	2453	GA
ARKANSAS	2020-07-19	5	695	AR
UTAH	2020-07-19	49	687	UT
CALIFORNIA	2020-07-19	6	8266	CA
KENTUCKY	2020-07-19	21	850	KY
NORTH CAROLINA	2020-07-19	37	1774	NC
ALASKA	2020-07-19	2	118	AK
IOWA	2020-07-19	19	499	IA
MARYLAND	2020-07-19	24	925	MD
NORTH DAKOTA	2020-07-19	38	112	ND
WISCONSIN	2020-07-19	55	835	WI
INDIANA	2020-07-19	18	920	IN
MINNESOTA	2020-07-19	27	734	MN
MISSOURI	2020-07-19	29	791	MO
VIRGINIA	2020-07-19	51	1057	VA
NEW MEXICO	2020-07-19	35	235	NM
OHIO	2020-07-19	39	1110	OH
DISTRICT OF COLUMBIA	2020-07-19	11	67	DC
WASHINGTON	2020-07-19	53	712	WA
DELAWARE	2020-07-19	10	90	DE
OREGON	2020-07-19	41	355	OR
ILLINOIS	2020-07-19	17	985	IL
KANSAS	2020-07-19	20	221	KS
WEST VIRGINIA	2020-07-19	54	120	WV
COLORADO	2020-07-19	8	371	CO
MONTANA	2020-07-19	30	62	MT
MICHIGAN	2020-07-19	26	551	MI
OKLAHOMA	2020-07-19	40	209	OK
SOUTH DAKOTA	2020-07-19	46	44	SD
NEBRASKA	2020-07-19	31	92	NE
PENNSYLVANIA	2020-07-19	42	604	PA
MASSACHUSETTS	2020-07-19	25	296	MA
WYOMING	2020-07-19	56	18	WY
MAINE	2020-07-19	23	41	ME
NEW YORK	2020-07-19	36	509	NY
VERMONT	2020-07-19	50	12	VT
HAWAII	2020-07-19	15	27	HI
NEW HAMPSHIRE	2020-07-19	33	15	NH
CONNECTICUT	2020-07-19	9	0	CN
RHODE ISLAND	2020-07-19	44	0	RI
NEW JERSEY	2020-07-19	34	-31	NJ
FLORIDA	2020-07-18	12	10328	FL
